Time,Z
0,1
1440,0.974025974
2880,0.876190476
4320,0.857142857
5760,0.779220779
7200,0.74025974
8640,0.647619048
10080,0.60952381
11520,0.584415584
12960,0.52173913
14400,0.48447205
15840,0.457142857
17280,0.408163265
18720,0.380952381
20160,0.38961039
21600,0.342857143
23040,0.311688312
24480,0.298136646
25920,0.272727273
27360,0.255319149
28800,0.223602484
30240,0.228571429
31680,0.19047619
33120,0.186335404
34560,0.19047619
36000,0.186335404
37440,0.111801242
38880,0.114285714
40320,0.152380952
41760,0.145896657
43200,0.114285714
44640,0.111801242
46080,0.107142857
47520,0.076190476
48960,0.072948328
50400,0.072948328
51840,0.062337662
53280,0.038095238
54720,0.036474164
56160,0.074534161
57600,0.038095238
59040,0.038961039
60480,0.038095238
